epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,72611.1,0.22491,0.32628,0.91317,0.79407,0.71996,0.77991,0.73907,0.40859,0.76801,0.86259,0.006073,0.006073,0.006073
121,72800,0.22098,0.32728,0.9079,0.79701,0.71636,0.77944,0.73999,0.40821,0.76878,0.86257,0.00604,0.00604,0.00604
122,73101.4,0.2215,0.32718,0.91222,0.80581,0.71057,0.78168,0.74206,0.40792,0.76914,0.86272,0.006007,0.006007,0.006007
123,73281,0.21609,0.31823,0.91134,0.81418,0.70831,0.78209,0.74119,0.40763,0.76886,0.86263,0.005974,0.005974,0.005974
124,73439,0.21999,0.31679,0.91021,0.82783,0.6997,0.77971,0.74051,0.40708,0.76597,0.86219,0.005941,0.005941,0.005941
125,163894,0.21679,0.32248,0.90928,0.83024,0.69708,0.77925,0.74032,0.40696,0.76408,0.86209,0.005908,0.005908,0.005908
126,163979,0.21804,0.31875,0.90964,0.83211,0.69785,0.77733,0.73811,0.40715,0.76399,0.86241,0.005875,0.005875,0.005875
127,164066,0.21236,0.31272,0.90605,0.83249,0.69692,0.77895,0.73901,0.40681,0.76303,0.86232,0.005842,0.005842,0.005842
128,164154,0.2166,0.31491,0.90921,0.83187,0.69707,0.77922,0.73907,0.40696,0.76302,0.86275,0.005809,0.005809,0.005809
129,164241,0.21314,0.31049,0.90857,0.83112,0.69773,0.78,0.7393,0.40685,0.76421,0.86281,0.005776,0.005776,0.005776
130,164327,0.2144,0.31847,0.90953,0.83184,0.69628,0.78028,0.73993,0.40689,0.76238,0.86322,0.005743,0.005743,0.005743
131,164414,0.21191,0.31358,0.90619,0.83277,0.697,0.78261,0.74185,0.4074,0.76286,0.86407,0.00571,0.00571,0.00571
132,164500,0.21103,0.31021,0.90658,0.83344,0.69465,0.78109,0.74147,0.40767,0.76274,0.86467,0.005677,0.005677,0.005677
133,164585,0.2113,0.30572,0.90726,0.83505,0.69466,0.78203,0.74136,0.4076,0.76354,0.86478,0.005644,0.005644,0.005644
134,164671,0.20824,0.30981,0.90645,0.84201,0.69416,0.78145,0.74198,0.40771,0.76268,0.86517,0.005611,0.005611,0.005611
135,164756,0.20787,0.30037,0.90406,0.84428,0.69324,0.78262,0.7422,0.40758,0.76177,0.86517,0.005578,0.005578,0.005578
136,164842,0.20785,0.30512,0.90607,0.8475,0.69207,0.78278,0.74143,0.40749,0.76067,0.86517,0.005545,0.005545,0.005545
137,164928,0.20705,0.30568,0.90536,0.85041,0.6901,0.78013,0.73848,0.40744,0.76178,0.86528,0.005512,0.005512,0.005512
